Table 6,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"Columbia, MO M.S.A.3",,209738, ,,,,, ,,,
,"Includes Boone, Cooper, and Howard3 Counties",,,,,,,,,,
,City of Columbia3,125017,401,11,69,74,247,3243,499,2431,313
,Total area actually reporting,0.992,566,14,100,85,367,4552,708,3390,454
,Estimated total,1,570,14,101,85,370,4577,714,3406,457
,"Rate per 100,000 inhabitants",,271.8,6.7,48.2,40.5,176.4,2182.2,340.4,1623.9,217.9
"Columbia, SC M.S.A.",,841451, ,,,,, ,,,
,"Includes Calhoun, Fairfield, Kershaw, Lexington, Richland, and Saluda Counties",,,,,,,,,,
,City of Columbia,133790,1037,29,88,220,700,7027,916,5216,895
,Total area actually reporting,1,4909,71,412,696,3730,28376,4480,20448,3448
,"Rate per 100,000 inhabitants",,583.4,8.4,49,82.7,443.3,3372.3,532.4,2430.1,409.8
"Columbus, IN M.S.A.3",,83691, ,,,,, ,,,
,Includes Bartholomew County,,,,,,,,,,
,City of Columbus,47991,67,0,40,17,10,1439,130,1254,55
,Total area actually reporting,1,122,0,58,19,45,1864,208,1559,97
,"Rate per 100,000 inhabitants",,145.8,0,69.3,22.7,53.8,2227.2,248.5,1862.8,115.9
"Columbus, OH M.S.A.",,2129346, ,,,,, ,,,
,"Includes Delaware, Fairfield, Franklin, Hocking, Licking, Madison, Morrow, Perry, Pickaway, and Union Counties",,,,,,,,,,
,City of Columbus,906120,4561,81,882,1810,1788,29974,5809,20606,3559
,Total area actually reporting,0.935,5889,112,1284,2088,2405,48501,8551,35380,4570
,Estimated total,1,6100,113,1327,2127,2533,50897,8890,37326,4681
,"Rate per 100,000 inhabitants",,286.5,5.3,62.3,99.9,119,2390.3,417.5,1752.9,219.8
"Corpus Christi, TX M.S.A.3",,429610, ,,,,, ,,,
,Includes Nueces and San Patricio Counties,,,,,,,,,,
,City of Corpus Christi3,329320,2616,31,266,496,1823,11347,1961,8494,892
,Total area actually reporting,0.999,3165,35,313,536,2281,13605,2443,10112,1050
,Estimated total,1,3166,35,313,536,2282,13613,2445,10117,1051
,"Rate per 100,000 inhabitants",,736.9,8.1,72.9,124.8,531.2,3168.7,569.1,2354.9,244.6
"Crestview-Fort Walton Beach-Destin, FL M.S.A.",,282526,,,,,,,,,
,Includes Okaloosa and Walton Counties,,,,,,,,,,
,City of Crestview,25152,96,3,11,20,62,644,107,478,59
,City of Fort Walton Beach,22645,68,2,18,1,47,475,59,372,44
,Total area actually reporting,0.997,882,13,131,64,674,4699,631,3680,388
,Estimated total,1,885,13,131,65,676,4718,635,3694,389
,"Rate per 100,000 inhabitants",,313.2,4.6,46.4,23,239.3,1669.9,224.8,1307.5,137.7
"Cumberland, MD-WV M.S.A.",,96806, ,,,,, ,,,
,"Includes Allegany County, MD and Mineral County, WV",,,,,,,,,,
,"City of Cumberland, MD",19321,151,0,9,33,109,869,216,627,26
,Total area actually reporting,0.985,262,0,27,44,191,1729,374,1284,71
,Estimated total,1,266,0,27,44,195,1762,381,1307,74
,"Rate per 100,000 inhabitants",,274.8,0,27.9,45.5,201.4,1820.1,393.6,1350.1,76.4
"Danville, IL M.S.A.",,75878, ,,,,, ,,,
,Includes Vermilion County,,,,,,,,,,
,City of Danville,30642,536,7,50,65,414,1370,341,957,72
,Total area actually reporting,1,710,7,92,74,537,2161,602,1453,106
,"Rate per 100,000 inhabitants",,935.7,9.2,121.2,97.5,707.7,2848,793.4,1914.9,139.7
"Davenport-Moline-Rock Island, IA-IL M.S.A.",,379899,,,,,,,,,
,"Includes Henry, Mercer, and Rock Island Counties, IL and Scott County, IA",,,,,,,,,,
,"City of Davenport, IA",102392,609,2,84,124,399,3918,745,2830,343
,"City of Moline, IL",41701,219,1,36,26,156,978,190,727,61
,"City of Rock Island, IL",37517,139,1,14,29,95,878,166,599,113
,Total area actually reporting,0.967,1367,8,208,208,943,8152,1566,5919,667
,Estimated total,1,1392,8,212,211,961,8353,1596,6074,683
,"Rate per 100,000 inhabitants",,366.4,2.1,55.8,55.5,253,2198.7,420.1,1598.8,179.8
"Dayton-Kettering, OH M.S.A.3",,805963, ,,,,, ,,,
,"Includes Greene, Miami, and Montgomery Counties",,,,,,,,,,
,City of Dayton,140427,1351,48,200,347,756,5673,1533,3393,747
,City of Kettering,54974,56,1,27,13,15,794,139,604,51
,Total area actually reporting,0.937,2551,60,487,623,1381,16890,3287,12128,1475
,Estimated total,1,2647,60,530,641,1416,18206,3477,13211,1518
,"Rate per 100,000 inhabitants",,328.4,7.4,65.8,79.5,175.7,2258.9,431.4,1639.2,188.3
"Decatur, IL M.S.A.",,103506, ,,,,, ,,,
,Includes Macon County,,,,,,,,,,
,City of Decatur,70710,375,11,52,65,247,1954,442,1339,173
,Total area actually reporting,1,434,11,64,71,288,2382,520,1671,191
,"Rate per 100,000 inhabitants", ,419.3,10.6,61.8,68.6,278.2,2301.3,502.4,1614.4,184.5
"Deltona-Daytona Beach-Ormond Beach, FL M.S.A.",,664033,,,,,,,,,
,Includes Flagler and Volusia Counties,,,,,,,,,,
,City of Daytona Beach,69834,794,13,18,109,654,2833,380,2213,240
,City of Ormond Beach,44005,133,1,13,15,104,1119,158,894,67
,City of DeLand,34468,198,4,1,26,167,1126,182,873,71
,Total area actually reporting,1,2120,28,136,289,1667,11988,1879,9180,929
,"Rate per 100,000 inhabitants",,319.3,4.2,20.5,43.5,251,1805.3,283,1382.5,139.9
"Detroit-Warren-Dearborn, MI M.S.A.",,4320314,,,,,,,,,
,Includes the Metropolitan Divisions of Detroit-Dearborn-Livonia and Warren-Troy-Farmington Hills,,,,,,,,,,
,City of Detroit,663502,13040,275,952,2346,9467,28550,6820,14844,6886
,City of Warren,134653,648,8,89,83,468,2465,569,1540,356
,City of Dearborn,93902,305,4,36,56,209,2104,201,1637,266
,City of Livonia,93644,167,0,22,18,127,1411,126,1173,112
,City of Troy,84688,67,2,10,8,47,1042,70,918,54
,City of Farmington Hills,81262,87,0,17,7,63,759,145,547,67
,City of Southfield,73335,200,1,33,45,121,1508,358,898,252
,City of Taylor,60923,378,1,35,41,301,1386,242,998,146
,City of Pontiac,59791,769,10,66,108,585,1300,315,875,110
,City of Novi,61699,48,1,8,2,37,514,21,466,27
,Total area actually reporting,1,22332,363,2443,3481,16045,72684,13451,47916,11317
,"Rate per 100,000 inhabitants",,516.9,8.4,56.5,80.6,371.4,1682.4,311.3,1109.1,261.9
"Detroit-Dearborn-Livonia, MI M.D.",,1741965,,,,,,,,,
,Includes Wayne County,,,,,,,,,,
,Total area actually reporting,1,17147,313,1499,2891,12444,46878,9438,28410,9030
,"Rate per 100,000 inhabitants",,984.3,18,86.1,166,714.4,2691.1,541.8,1630.9,518.4
"Warren-Troy-Farmington Hills, MI M.D.",,2578349,,,,,,,,,
,"Includes Lapeer, Livingston, Macomb, Oakland, and St. Clair Counties",,,,,,,,,,
,Total area actually reporting,1,5185,50,944,590,3601,25806,4013,19506,2287
,"Rate per 100,000 inhabitants",,201.1,1.9,36.6,22.9,139.7,1000.9,155.6,756.5,88.7
"Dover, DE M.S.A.",,180168, ,,,,, ,,,
,Includes Kent County,,,,,,,,,,
,City of Dover,38361,334,4,13,49,268,2057,82,1886,89
,Total area actually reporting,1,770,6,71,97,596,4019,430,3380,209
,"Rate per 100,000 inhabitants",,427.4,3.3,39.4,53.8,330.8,2230.7,238.7,1876,116
"Dubuque, IA M.S.A.",,96742, ,,,,, ,,,
,Includes Dubuque County,,,,,,,,,,
,City of Dubuque,57973,110,0,34,9,67,949,138,747,64
,Total area actually reporting,1,130,1,42,9,78,1103,180,842,81
,"Rate per 100,000 inhabitants",,134.4,1,43.4,9.3,80.6,1140.1,186.1,870.4,83.7
"Duluth, MN-WI M.S.A.3",,288792, ,,,,, ,,,
,"Includes Carlton, Lake, and St. Louis3 Counties, MN and Douglas County, WI",,,,,,,,,,
,"City of Duluth, MN",85846,292,2,37,69,184,3670,481,2977,212
,Total area actually reporting,1,604,4,126,80,394,7697,1100,6131,466
,"Rate per 100,000 inhabitants",,209.1,1.4,43.6,27.7,136.4,2665.2,380.9,2123,161.4
"Durham-Chapel Hill, NC M.S.A.3",,644500, ,,,,, ,,,
,"Includes Chatham, Durham, Granville, Orange and Person Counties3",,,,,,,,,,
,City of Durham3,280282,2046,37,121,626,1262,10672,1972,7942,758
,City of Chapel Hill3,61457,58,0,10,17,31,926,184,706,36
,Total area actually reporting,0.967,2752,46,194,730,1782,15906,3044,11836,1026
,Estimated total,1,2830,47,203,744,1836,16639,3183,12392,1064
,"Rate per 100,000 inhabitants",,439.1,7.3,31.5,115.4,284.9,2581.7,493.9,1922.7,165.1
"East Stroudsburg, PA M.S.A.",,169228, ,,,,, ,,,
,Includes Monroe County,, ,,,,,,,,
,Total area actually reporting,1,400,4,64,28,304,2551,379,2089,83
,"Rate per 100,000 inhabitants",,236.4,2.4,37.8,16.5,179.6,1507.4,224,1234.4,49
"Eau Claire, WI M.S.A.3",,169360, ,,,,, ,,,
,Includes Chippewa and Eau Claire Counties,,,,,,,,,,
,City of Eau Claire,69195,191,0,58,22,111,1634,252,1317,65
,Total area actually reporting,1,363,5,118,26,214,2600,423,2046,131
,"Rate per 100,000 inhabitants",,214.3,3,69.7,15.4,126.4,1535.2,249.8,1208.1,77.4
"El Centro, CA M.S.A.",,181194, ,,,,, ,,,
,Includes Imperial County,,,,,,,,,,
,City of El Centro,44303,143,3,9,41,90,1184,228,861,95
,Total area actually reporting,0.947,589,7,28,80,474,3476,769,2236,471
,Estimated total,1,615,7,30,83,495,3619,806,2325,488
,"Rate per 100,000 inhabitants",,339.4,3.9,16.6,45.8,273.2,1997.3,444.8,1283.2,269.3
"Elizabethtown-Fort Knox, KY M.S.A.",,153255, ,,,,, ,,,
,"Includes Hardin, Larue, and Meade Counties",,,,,,,,,,
,City of Elizabethtown,30383,49,3,13,15,18,452,140,239,73
,Total area actually reporting,1,153,6,33,39,75,1738,472,1045,221
,"Rate per 100,000 inhabitants",,99.8,3.9,21.5,25.4,48.9,1134.1,308,681.9,144.2
"Elmira, NY M.S.A.",,83232, ,,,,, ,,,
,Includes Chemung County,,,,,,,,,,
,City of Elmira,26958,83,1,0,40,42,831,172,643,16
,Total area actually reporting,1,178,1,19,45,113,1445,238,1174,33
,"Rate per 100,000 inhabitants",,213.9,1.2,22.8,54.1,135.8,1736.1,285.9,1410.5,39.6
"El Paso, TX M.S.A.3",,845194, ,,,,, ,,,
,Includes El Paso3 and Hudspeth Counties,,,,,,,,,,
,City of El Paso3,686793,2422,40,310,338,1734,10378,1048,8479,851
,Total area actually reporting,1,2816,41,369,363,2043,11967,1296,9661,1010
,"Rate per 100,000 inhabitants",,333.2,4.9,43.7,42.9,241.7,1415.9,153.3,1143.1,119.5
"Enid, OK M.S.A.",,60773, ,,,,, ,,,
,Includes Garfield County,,,,,,,,,,
,City of Enid,49598,204,1,44,9,150,1625,364,1148,113
,Total area actually reporting,1,225,1,47,9,168,1812,411,1275,126
,"Rate per 100,000 inhabitants",,370.2,1.6,77.3,14.8,276.4,2981.6,676.3,2098,207.3
"Erie, PA M.S.A.",,270606, ,,,,, ,,,
,Includes Erie County,,,,,,,,,,
,City of Erie,95834,476,9,54,93,320,1817,342,1379,96
,Total area actually reporting,0.995,807,9,118,115,565,4311,644,3518,149
,Estimated total,1,809,9,118,115,567,4322,645,3527,150
,"Rate per 100,000 inhabitants",,299,3.3,43.6,42.5,209.5,1597.2,238.4,1303.4,55.4
"Eugene-Springfield, OR M.S.A.4",,381434, ,,,,, ,,,
,Includes Lane County,,,,,,,,,,
,City of Eugene,173183,675,2,123,180,370,6184,964,4614,606
,City of Springfield,63438,190,1,34,32,123,1978,169,1640,169
,Total area actually reporting,0.991,,,180,225,773,10372,1493,7880,999
,Estimated total,1,,,181,225,777,10440,1499,7938,1003
,"Rate per 100,000 inhabitants",,,,47.5,59,203.7,2737,393,2081.1,263
"Evansville, IN-KY M.S.A.",,315399, ,,,,, ,,,
,"Includes Posey, Vanderburgh, and Warrick Counties, IN and Henderson County, KY",,, ,,,,,,,
,City of Evansville,117700,721,11,90,153,467,4917,588,3926,403
,Total area actually reporting,0.919,990,17,130,172,671,6954,912,5455,587
,Estimated total,1,1032,17,133,176,706,7199,953,5639,607
,"Rate per 100,000 inhabitants",,327.2,5.4,42.2,55.8,223.8,2282.5,302.2,1787.9,192.5
"Fairbanks, AK M.S.A.",,33604, ,,,,, ,,,
,Includes Fairbanks North Star Borough,,, ,,,,,,,
,City of Fairbanks,31493,247,3,33,52,159,1353,163,1006,184
,Total area actually reporting,1,267,3,39,52,173,1491,178,1117,196
,"Rate per 100,000 inhabitants",,794.5,8.9,116.1,154.7,514.8,4437,529.7,3324,583.3
"Fargo, ND-MN M.S.A.",,247762, ,,,,, ,,,
,"Includes Clay County, MN and Cass County, ND",,,,,,,,,,
,"City of Fargo, ND",127423,574,5,111,78,380,3978,830,2757,391
,Total area actually reporting,1,735,5,153,105,472,5794,1164,4066,564
,"Rate per 100,000 inhabitants",,296.7,2,61.8,42.4,190.5,2338.5,469.8,1641.1,227.6
"Flagstaff, AZ M.S.A.",,144001, ,,,,, ,,,
,Includes Coconino County,,,,,,,,,,
,City of Flagstaff,75013,367,1,42,43,281,2371,140,2169,62
,Total area actually reporting,1,664,8,78,55,523,3527,284,3118,125
,"Rate per 100,000 inhabitants",,461.1,5.6,54.2,38.2,363.2,2449.3,197.2,2165.3,86.8
"Flint, MI M.S.A.4",,403666, ,,,,, ,,,
,Includes Genesee County4,,,,,,,,,,
,City of Flint,95212,1284,23,64,78,1119,1986,559,1220,207
,Total area actually reporting,1,2340,30,259,177,1874,,,4624,600
,"Rate per 100,000 inhabitants",,579.7,7.4,64.2,43.8,464.2,,,1145.5,148.6
"Florence, SC M.S.A.",,204992, ,,,,, ,,,
,Includes Darlington and Florence Counties,,,,,,,,,,
,City of Florence,37640,447,7,29,58,353,2496,388,1909,199
,Total area actually reporting,0.988,1678,34,140,220,1284,8235,1927,5665,643
,Estimated total,1,1688,34,141,221,1292,8321,1945,5728,648
,"Rate per 100,000 inhabitants",,823.4,16.6,68.8,107.8,630.3,4059.2,948.8,2794.3,316.1
"Fond du Lac, WI M.S.A.",,103125, ,,,,, ,,,
,Includes Fond du Lac County,,,,,,,,,,
,City of Fond du Lac,42954,134,0,28,14,92,797,59,697,41
,Total area actually reporting,1,182,0,50,15,117,1131,178,898,55
,"Rate per 100,000 inhabitants",,176.5,0,48.5,14.5,113.5,1096.7,172.6,870.8,53.3
"Fort Collins, CO M.S.A.",,355815,,,,,,,,,
,Includes Larimer County,, ,,,,,,,,
,City of Fort Collins,170889,371,1,41,36,293,3713,350,3135,228
,Total area actually reporting,1,833,3,124,63,643,6683,691,5533,459
,"Rate per 100,000 inhabitants",,234.1,0.8,34.8,17.7,180.7,1878.2,194.2,1555,129
"Fort Smith, AR-OK M.S.A.",,249623, , ,,,, ,,,
,"Includes Crawford, Franklin, and Sebastian Counties, AR and Sequoyah County, OK",,,,,,,,,,
,"City of Fort Smith, AR",88041,863,4,97,90,672,5127,812,3929,386
,Total area actually reporting,0.996,1457,8,206,106,1137,7925,1501,5815,609
,Estimated total,1,1462,8,207,106,1141,7944,1506,5828,610
,"Rate per 100,000 inhabitants",,585.7,3.2,82.9,42.5,457.1,3182.4,603.3,2334.7,244.4
"Fort Wayne, IN M.S.A.",,412827, ,,,,, ,,,
,Includes Allen and Whitley Counties,,,,,,,,,,
,City of Fort Wayne,269366,974,26,145,357,446,7437,990,5879,568
,Total area actually reporting,0.944,1227,30,195,401,601,8580,1167,6714,699
,Estimated total,1,1259,30,196,403,630,8726,1200,6811,715
,"Rate per 100,000 inhabitants",,305,7.3,47.5,97.6,152.6,2113.7,290.7,1649.8,173.2
"Gainesville, FL M.S.A.",,329709, ,,,,, ,,,
,"Includes Alachua, Gilchrist, and Levy Counties",,,,,,,,,,
,City of Gainesville,135085,928,2,153,185,588,4712,501,3803,408
,Total area actually reporting,1,2282,7,309,297,1669,8091,1345,6054,692
,"Rate per 100,000 inhabitants",,692.1,2.1,93.7,90.1,506.2,2454,407.9,1836.2,209.9
"Glens Falls, NY M.S.A.",,124339, ,,,,, ,,,
,Includes Warren and Washington Counties,,,,,,,,,,
,City of Glens Falls,14306,28,0,8,1,19,100,18,80,2
,Total area actually reporting,0.98,156,0,94,6,56,885,123,728,34
,Estimated total,1,158,0,94,6,58,906,126,745,35
,"Rate per 100,000 inhabitants",,127.1,0,75.6,4.8,46.6,728.7,101.3,599.2,28.1
"Goldsboro, NC M.S.A.3",,123222, ,,,,, ,,,
,Includes Wayne County3,,,,,,,,,,
,City of Goldsboro3,34085,267,2,7,50,208,1985,380,1506,99
,Total area actually reporting,0.977,501,4,10,82,405,3298,865,2180,253
,Estimated total,1,511,4,11,82,414,3376,887,2229,260
,"Rate per 100,000 inhabitants",,414.7,3.2,8.9,66.5,336,2739.8,719.8,1808.9,211
"Grand Forks, ND-MN M.S.A.3",,101736, ,,,,, ,,,
,"Includes Polk County,3 MN and Grand Forks County, ND",,,,,,,,,,
,"City of Grand Forks, ND",57459,166,0,25,23,118,1422,218,1101,103
,Total area actually reporting,1,255,1,42,24,188,2080,336,1594,150
,"Rate per 100,000 inhabitants",,250.6,1,41.3,23.6,184.8,2044.5,330.3,1566.8,147.4
"Grand Island, NE M.S.A.",,75855, ,,,,, ,,,
,"Includes Hall, Howard, and Merrick Counties",,,,,,,,,,
,City of Grand Island,51821,236,1,55,14,166,1323,189,1034,100
,Total area actually reporting,1,285,1,60,15,209,1456,224,1118,114
,"Rate per 100,000 inhabitants",,375.7,1.3,79.1,19.8,275.5,1919.5,295.3,1473.9,150.3
"Grand Junction, CO M.S.A.",,153429, ,,,,, ,,,
,Includes Mesa County,,,,,,,,,,
,City of Grand Junction,63949,235,3,43,30,159,2463,278,2034,151
,Total area actually reporting,0.992,427,9,85,49,284,3764,555,2932,277
,Estimated total,1,435,9,85,50,291,3893,562,3049,282
,"Rate per 100,000 inhabitants",,283.5,5.9,55.4,32.6,189.7,2537.3,366.3,1987.2,183.8
"Grand Rapids-Kentwood, MI M.S.A.4",,1079969, ,,,,, ,,,
,"Includes Ionia, Kent, Montcalm, and Ottawa Counties",,,,,,,,,,
,City of Grand Rapids,201799,1286,8,144,274,860,3850,595,2754,501
,City of Kentwood,52274,162,0,23,20,119,1111,170,850,91
,Total area actually reporting,0.999,3469,24,857,446,2142,,,10937,1248
,Estimated total,1,3472,24,857,446,2145,,,10952,1249
,"Rate per 100,000 inhabitants",,321.5,2.2,79.4,41.3,198.6,,,1014.1,115.7
"Grants Pass, OR M.S.A.",,87564, ,,,,, ,,,
,Includes Josephine County,,,,,,,,,,
,City of Grants Pass,38475,121,0,24,21,76,1235,151,958,126
,Total area actually reporting,1,209,0,37,24,148,1643,229,1114,300
,"Rate per 100,000 inhabitants",,238.7,0,42.3,27.4,169,1876.3,261.5,1272.2,342.6
"Great Falls, MT M.S.A.4",,81418, ,,,,, ,,,
,Includes Cascade County4,,,,,,,,,,
,City of Great Falls,58637,302,0,39,18,245,3405,318,2826,261
,Total area actually reporting,1,,,43,21,314,3653,375,2983,295
,"Rate per 100,000 inhabitants",,,,52.8,25.8,385.7,4486.7,460.6,3663.8,362.3
"Greeley, CO M.S.A.3",,321385, ,,,,, ,,,
,Includes Weld County,,,,,,,,,,
,City of Greeley,109255,386,2,71,67,246,2542,338,1898,306
,Total area actually reporting,0.947,660,5,154,87,414,4767,654,3509,604
,Estimated total,1,694,5,158,93,438,5246,701,3894,651
,"Rate per 100,000 inhabitants",,215.9,1.6,49.2,28.9,136.3,1632.3,218.1,1211.6,202.6
"Green Bay, WI M.S.A.",,323107, ,,,,, ,,,
,"Includes Brown, Kewaunee, and Oconto Counties",,, ,,,,,,,
,City of Green Bay,104992,529,3,78,49,399,1724,245,1355,124
,Total area actually reporting,1,730,5,135,56,534,3549,423,2938,188
,"Rate per 100,000 inhabitants",,225.9,1.5,41.8,17.3,165.3,1098.4,130.9,909.3,58.2
"Greensboro-High Point, NC M.S.A.3",,772854, ,,,,, ,,,
,"Includes Guilford, Randolph, and Rockingham Counties3",,,,,,,,,,
,City of Greensboro3,298025,2440,43,113,621,1663,10994,2215,7792,987
,City of High Point3,113307,828,19,44,133,632,3726,621,2705,400
,Total area actually reporting,0.814,3738,69,216,825,2628,18073,3793,12660,1620
,Estimated total,1,4098,75,255,876,2892,20835,4473,14540,1822
,"Rate per 100,000 inhabitants",,530.2,9.7,33,113.3,374.2,2695.9,578.8,1881.3,235.7
"Greenville, NC M.S.A.3",,181242, ,,,,, ,,,
,Includes Pitt County3,,,,,,,,,,
,City of Greenville3,94193,437,5,17,94,321,2837,415,2308,114
,Total area actually reporting,0.963,630,8,34,131,457,4165,806,3176,183
,Estimated total,1,657,8,37,135,477,4383,852,3335,196
,"Rate per 100,000 inhabitants",,362.5,4.4,20.4,74.5,263.2,2418.3,470.1,1840.1,108.1
"Gulfport-Biloxi, MS M.S.A.3",,417585,,,,,,,,,
,"Includes Hancock, Harrison, Jackson, and Stone Counties",,,,,,,,,,
,City of Gulfport,72383,236,12,25,65,134,3492,419,2805,268
,City of Biloxi,46185,188,3,35,65,85,2663,619,1877,167
,Total area actually reporting,0.953,888,26,152,220,490,13273,2225,9887,1161
,Estimated total,1,924,27,158,228,511,13849,2300,10356,1193
,"Rate per 100,000 inhabitants",,221.3,6.5,37.8,54.6,122.4,3316.5,550.8,2480,285.7
"Hanford-Corcoran, CA M.S.A.",,149966,,,,,,,,,
,Includes Kings County,, ,,,,,,,,
,City of Hanford,57232,257,0,18,40,199,1242,131,900,211
,City of Corcoran,21353,118,1,8,12,97,272,65,157,50
,Total area actually reporting,1,757,4,71,88,594,2466,410,1662,394
,"Rate per 100,000 inhabitants",,504.8,2.7,47.3,58.7,396.1,1644.4,273.4,1108.3,262.7
"Harrisonburg, VA M.S.A.",,135787, ,,,,, ,,,
,Includes Rockingham County and Harrisonburg City,,,,,,,,,,
,City of Harrisonburg,54387,112,0,32,17,63,924,68,813,43
,Total area actually reporting,1,172,0,62,19,91,1583,208,1296,79
,"Rate per 100,000 inhabitants",,126.7,0,45.7,14,67,1165.8,153.2,954.4,58.2
"Hartford-East Hartford-Middletown, CT M.S.A.3, 5",,1015769,,,,,,,,,
,"Includes Hartford, Middlesex, and Tolland Counties",,,,,,,,,,
,City of Hartford,122245,1049,21,31,271,726,3424,427,2464,533
,City of East Hartford,49842,76,1,18,31,26,775,109,525,141
,City of Middletown,45963,38,0,5,10,23,613,62,474,77
,Total area actually reporting,1,2021,32,197,565,1227,,1999,13411,
,"Rate per 100,000 inhabitants",,199,3.2,19.4,55.6,120.8,,196.8,1320.3,
"Hilton Head Island-Bluffton, SC M.S.A.",,221873,,,,,,,,,
,Includes Beaufort and Jasper Counties,, ,,,,,,,,
,City of Bluffton,24812,46,1,9,10,26,220,35,175,10
,Total area actually reporting,0.916,784,11,69,138,566,3085,499,2374,212
,Estimated total,1,882,13,77,143,649,3476,610,2615,251
,"Rate per 100,000 inhabitants",,397.5,5.9,34.7,64.5,292.5,1566.7,274.9,1178.6,113.1
"Homosassa Springs, FL M.S.A.",,147739,,,,,,,,,
,Includes Citrus County,, ,,,,,,,,
,Total area actually reporting,1,373,4,29,40,300,2055,394,1466,195
,"Rate per 100,000 inhabitants",,252.5,2.7,19.6,27.1,203.1,1391,266.7,992.3,132
"Hot Springs, AR M.S.A.4",,99238, ,,,,, ,,,
,Includes Garland County4,,,,,,,,,,
,City of Hot Springs,37263,241,10,38,42,151,2674,755,1710,209
,Total area actually reporting,1,520,10,63,50,397,,,2385,354
,"Rate per 100,000 inhabitants",,524,10.1,63.5,50.4,400,,,2403.3,356.7
"Houma-Thibodaux, LA M.S.A.",,208034,,,,,,,,,
,Includes Lafourche and Terrebonne Parishes,,,,,,,,,,
,City of Houma,32771,209,4,17,22,166,1489,169,1260,60
,City of Thibodaux,14587,81,4,5,0,72,515,63,432,20
,Total area actually reporting,0.979,761,20,70,38,633,6005,874,4866,265
,Estimated total,1,779,20,70,38,651,6097,899,4928,270
,"Rate per 100,000 inhabitants",,374.5,9.6,33.6,18.3,312.9,2930.8,432.1,2368.8,129.8
"Huntington-Ashland, WV-KY-OH M.S.A.",,356404,,,,,,,,,
,"Includes Boyd, Carter, and Greenup Counties, KY; Lawrence County OH; and Cabell, Putnam, and Wayne Counties, WV",,,,,,,,,,
,"City of Huntington, WV",45675,330,4,56,59,211,1792,456,1147,189
,"City of Ashland, KY",20222,59,3,11,14,31,740,96,608,36
,Total area actually reporting,0.867,826,12,145,91,578,5254,1164,3588,502
,Estimated total,1,945,14,158,101,672,5969,1317,4094,558
,"Rate per 100,000 inhabitants",,265.1,3.9,44.3,28.3,188.6,1674.8,369.5,1148.7,156.6
"Idaho Falls, ID M.S.A.",,151591, ,,,,, ,,,
,"Includes Bonneville, Butte, and Jefferson Counties",,,,,,,,,,
,City of Idaho Falls,62088,172,1,37,11,123,940,264,608,68
,Total area actually reporting,1,310,2,54,14,240,1651,443,1092,116
,"Rate per 100,000 inhabitants",,204.5,1.3,35.6,9.2,158.3,1089.1,292.2,720.4,76.5
"Iowa City, IA M.S.A.",,175274, ,,,,, ,,,
,Includes Johnson and Washington Counties,,,,,,,,,,
,City of Iowa City,77390,167,1,40,25,101,1252,314,867,71
,Total area actually reporting,0.994,480,4,95,43,338,2629,505,1985,139
,Estimated total,1,485,4,96,44,341,2658,511,2005,142
,"Rate per 100,000 inhabitants",,276.7,2.3,54.8,25.1,194.6,1516.5,291.5,1143.9,81
"Ithaca, NY M.S.A",,102363, ,,,,, ,,,
,Includes Tompkins County,,,,,,,,,,
,City of Ithaca,31122,41,1,5,9,26,840,56,768,16
,Total area actually reporting,1,127,1,53,19,54,1707,197,1478,32
,"Rate per 100,000 inhabitants",,124.1,1,51.8,18.6,52.8,1667.6,192.5,1443.9,31.3
"Jackson, MI M.S.A.",,158260, ,,,,, ,,,
,Includes Jackson County,,,,,,,,,,
,City of Jackson,32503,360,4,51,37,268,1344,206,1025,113
,Total area actually reporting,1,814,5,162,50,597,3173,420,2528,225
,"Rate per 100,000 inhabitants",,514.3,3.2,102.4,31.6,377.2,2004.9,265.4,1597.4,142.2
"Jackson, TN M.S.A.",,178143, ,,,,, ,,,
,"Includes Chester, Crockett, Gibson, and Madison Counties",,,,,,,,,,
,City of Jackson,66915,650,17,30,97,506,2473,374,1904,195
,Total area actually reporting,1,1093,21,66,129,877,4179,751,3062,366
,"Rate per 100,000 inhabitants",,613.6,11.8,37,72.4,492.3,2345.9,421.6,1718.8,205.5
"Jacksonville, FL M.S.A.",,1549030, ,,,,, ,,,
,"Includes Baker, Clay, Duval, Nassau, and St. Johns Counties",,,,,,,,,,
,City of Jacksonville,909142,5886,129,554,1294,3909,30088,4906,22373,2809
,Total area actually reporting,1,7353,143,779,1456,4975,38810,6410,28976,3424
,"Rate per 100,000 inhabitants",,474.7,9.2,50.3,94,321.2,2505.4,413.8,1870.6,221
"Janesville-Beloit, WI M.S.A.3",,163288, ,,,,, ,,,
,Includes Rock County,,,,,,,,,,
,City of Janesville,64687,148,1,38,28,81,1577,137,1397,43
,City of Beloit3,37025,154,4,19,31,100,1114,122,921,71
,Total area actually reporting,1,380,5,75,69,231,3247,356,2738,153
,"Rate per 100,000 inhabitants",,232.7,3.1,45.9,42.3,141.5,1988.5,218,1676.8,93.7
"Jefferson City, MO M.S.A.",,151555, ,,,,, ,,,
,"Includes Callaway, Cole, Moniteau, and Osage Counties",,,,,,,,,,
,City of Jefferson City,42793,119,2,30,23,64,1101,125,910,66
